trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-102.99510045701206,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-62.60401249667856,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-108.68250236275146,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-42.16012014718382,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-50.546832138284636,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-108.09439328104469,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,2,-32.29672668931546,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,13,-113.02047494452529,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-190.68574620069404,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,14,-71.94534859334735,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-82.85494903554455,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,9,-40.580095980070396,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,12,0.918502578914471,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-30.59938794041872,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-95.95976030663762,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-124.43821861895572,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,18.191959191246795,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,26.530499677785365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,15.86033688410021,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-53.80702420195203,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,10,-35.971570348557385,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-120.30878935401941,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,10,28.43522851804921,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,7,-22.71953627859188,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,-28.357749663965237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,14,9.602727674686914,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-30.740274035072265,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-19.392535021461466,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-9.344060983292875,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,10,19.05262495080625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
