trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999985035503732}",30,0,-105.37550037538038,"{0: 20, 1: 6, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999940142059717}",20,0,-112.56127748344258,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999865319802314}",30,0,-95.91492281136162,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.999976056895546}",20,12,-47.47507499894493,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9999625889832664}",20,0,-20.362712471249203,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999461282837006}",30,0,-93.64339205113129,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9999266748461139}",25,0,-141.36197292032293,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999042287287284}",25,0,-123.709542659437,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9998787899987233}",30,0,-159.71842524819488,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9998503587322338}",20,0,-130.16372614844093,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.999818935014352}",25,0,-87.57948017979767,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.999784518939126}",25,0,-77.6275605137982,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9997471106095595}",25,0,-61.27406911420052,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9997067101376119}",20,0,-77.62321375046399,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9996633176441978}",20,0,-32.58166983339467,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9996169332591865}",30,0,-33.75834151320181,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9995675571214019}",20,14,-6.6600455445783,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9995151893786217}",20,0,-165.9663951653606,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9994598301875772}",20,0,-102.21529319877976,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9994014797139531}",20,0,-140.6150450426031,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9993401381323863}",20,0,-64.68654060799494,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9992758056264661}",25,12,-24.743731502434446,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9992084823887332}",30,0,-100.83053306195411,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9991381686206791}",20,0,-114.9160894558262,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.999064864532746}",20,0,-150.9827935415967,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9989885703443255}",20,0,-118.76612349336078,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9989092862837586}",25,0,-142.83444714875304,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9988270125883345}",20,0,-36.888638882199515,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.99874174950429}",25,0,-98.0585637858108,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9986534972868087}",25,0,-36.12256645520162,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.998562256200021}",20,0,-85.20692031417774,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9984680265170022}",25,0,-96.54467859886762,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9983708085197719}",25,0,-132.51216444527773,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9982706024992942}",30,0,-91.85439796533923,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9981674087554754}",25,0,-136.45053121681397,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.998061227597164}",25,0,-210.06069307398906,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9979520593421495}",30,0,-160.6218061964542,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.9978399043171615}",30,0,-129.03723670993313,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9977247628578688}",20,0,-133.71085905349193,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.997606635308878}",25,0,-138.6949106417372,"{0: 14, 1: 3, 2: 3, 3: 5, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9974855220237332}",20,2,-133.43033842218705,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.9973614233649141}",20,0,-88.58152275447931,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9972343397038353}",20,0,-59.937402070384984,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9971042714208458}",20,0,-218.55883163580594,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9969712189052266}",20,0,-151.80435288414844,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.9968351825551904}",30,0,-206.2056754891524,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9966961627778805}",20,0,-34.80737347414624,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9965541599893691}",20,0,-125.36159623146767,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9964091746146561}",20,0,-168.26874597485403,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9962612070876682}",25,0,-177.90020448484754,"{0: 13, 1: 1, 2: 5, 3: 5, 4: 1}",0
