trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.86715323728066,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.21637439056151,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.59624399062707,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.10259767035299,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.72920387413932,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.48049619456404,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.43945819835815,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.93170591176514,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.42795883720809,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.4868678669842,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-255.53919017781465,"{0: 17, 1: 6, 2: 7, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.56755767653235,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,9,-59.62640812981226,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.20413988888893,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.3064438428135,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.67154335235615,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.70338524619467,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,11,-115.40786938143718,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.79739561416139,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-281.3395748432225,"{0: 15, 1: 2, 2: 5, 3: 4, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.69839308609687,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-163.22092715846804,"{0: 21, 1: 3, 2: 7, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-238.4844386647246,"{0: 19, 1: 2, 2: 9, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.96667644212596,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.268169745759934,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.91493577354518,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.51487286596732,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-233.92638300067776,"{0: 12, 1: 2, 2: 4, 3: 4, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.51068595856566,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-197.10275727543356,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
